desc,linenum,desc_new,payee,outside
Sub Escrow,NEW,SubEscrow Fee,Escrow Company,NO
Sub escrow fee,NEW,SubEscrow Fee,Escrow Company,NO
Sub Escrow Fee - CTC,NEW,SubEscrow Fee,Escrow Company,NO
Subescrow,NEW,SubEscrow Fee,Escrow Company,NO
Subescrow Fee,NEW,SubEscrow Fee,Escrow Company,NO
Subescrow Fee - FNAS,NEW,SubEscrow Fee,Escrow Company,NO
SubEscrow Fee to CTC,NEW,SubEscrow Fee,Escrow Company,NO
SubEscrow Fee to Escrow Co.,NEW,SubEscrow Fee,Escrow Company,NO
Sub-escrow/Recon Fee to CTIC,NEW,SubEscrow Fee,Escrow Company,NO
Policy Fee to St. of TX,NEW,Policy Fee,State of Texas,NO
TIEFF Fee,NEW,TIEFF Fee,Title Insurer,NO
ALTA Land Survey,NEW,Survey,Survey Company,NO
ALTA Survey - Quote,NEW,Survey,Survey Company,NO
GA Resid. Fee,NEW,GA Resid. Fee,State of Georgia,NO
Sper. Court Search,NEW,Sup. Court Search,Search Agent,YES
Sup Ct Search,NEW,Sup. Court Search,Search Agent,YES
Super Ct Search,NEW,Sup. Court Search,Search Agent,YES
Super Ct. Search,NEW,Sup. Court Search,Search Agent,YES
Super. Ct  Search,NEW,Sup. Court Search,Search Agent,YES
Super. Ct Search,NEW,Sup. Court Search,Search Agent,YES
Super. Ct. Search,NEW,Sup. Court Search,Search Agent,YES
Super.Ct. Search,NEW,Sup. Court Search,Search Agent,YES
Super.Ct. Send,NEW,Sup. Court Search,Search Agent,YES
Super.Ct.Search,NEW,Sup. Court Search,Search Agent,YES
Super.ct.send,NEW,Sup. Court Search,Search Agent,YES
Superior Cour Search,NEW,Sup. Court Search,Search Agent,YES
Superior Court,NEW,Sup. Court Search,Search Agent,YES
Superior Court Searc,NEW,Sup. Court Search,Search Agent,YES
Superior Courts,NEW,Sup. Court Search,Search Agent,YES
Superior Ct Srch,NEW,Sup. Court Search,Search Agent,YES
Superior Ct. Searc,NEW,Sup. Court Search,Search Agent,YES
Superior Ct. Search,NEW,Sup. Court Search,Search Agent,YES
Superior Curts,NEW,Sup. Court Search,Search Agent,YES
Escrow Fee - CTC,1109,Escrow Fee,Escrow CTC,NA
Attorney Closing,1102,Signing Fee,TP Attorney Signer,NA
Attorney Closing Fee,1102,Signing Fee,TP Attorney Signer,NA
Attorney Fee,1102,Signing Fee,TP Attorney Signer,NA
Attorney Fee Signer,1102,Signing Fee,TP Attorney Signer,NA
Attorney Signing,1102,Signing Fee,TP Attorney Signer,NA
Attorney Signing Fee,1102,Signing Fee,TP Attorney Signer,NA
Attorney Signing/Coord,1102,Signing Fee,TP Attorney Signer,NA
Atty Signing Fee,1102,Signing Fee,TP Attorney Signer,NA
Closing Attorney Fee,1102,Signing Fee,TP Attorney Signer,NA
Closing Atty Fee,1102,Signing Fee,TP Attorney Signer,NA
Doc Signing,1102,Signing Fee,TP Signer,NA
Loan Sign - Pay NSS,1102,Signing Fee,TP Agent Signer,NA
Loan Sign Svces,1102,Signing Fee,TP Agent Signer,NA
Loan Signing,1102,Signing Fee,TP Agent Signer,NA
Loan Signing Fee,1102,Signing Fee,TP Agent Signer,NA
Loan Signing Service,1102,Signing Fee,TP Agent Signer,NA
Loan Signing Service - payable to NSS,1102,Signing Fee,TP Agent Signer,NA
Loan Signing to NSS,1102,Signing Fee,TP Agent Signer,NA
Loan Singing,1102,Signing Fee,TP Agent Signer,NA
Mobile Closing,1102,Signing Fee,TP Agent Signer,NA
Notary,1102,Signing Fee,TP Agent Signer,NA
Notary Fee,1102,Signing Fee,TP Agent Signer,NA
Notary/Signing Fee,1102,Signing Fee,TP Agent Signer,NA
Offsite Closing,1102,Signing Fee,TP Agent Signer,NA
Sigining Fee,1102,Signing Fee,TP Agent Signer,NA
Signing,1102,Signing Fee,TP Agent Signer,NA
Signing Agent,1102,Signing Fee,TP Agent Signer,NA
Signing Agent Fee,1102,Signing Fee,TP Agent Signer,NA
